2026-07-07 01:07:09 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-07 01:07:25 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-07 01:07:25 | INFO     | __main__ | Initializing gemma LLM...
2026-07-07 01:07:28 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-07 01:07:28 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-07 01:17:48 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
2026-07-07 10:53:05 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-07 10:53:05 | INFO     | __main__ | Configuration:
2026-07-07 10:53:05 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-07 10:53:05 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-07 10:53:05 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-07 10:53:05 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-07 10:53:05 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-07 10:53:05 | INFO     | __main__ |   Context Top K: 10
2026-07-07 10:53:05 | INFO     | __main__ |   Question Limit: 2
2026-07-07 10:53:05 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-07 10:53:33 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-07 10:53:33 | INFO     | __main__ | Configuration:
2026-07-07 10:53:33 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-07 10:53:33 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-07 10:53:33 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-07 10:53:33 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-07 10:53:33 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-07 10:53:33 | INFO     | __main__ |   Context Top K: 10
2026-07-07 10:53:33 | INFO     | __main__ |   Question Limit: 2
2026-07-07 10:53:33 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-07 10:53:55 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-07 10:53:55 | INFO     | __main__ | Initializing gemma LLM...
2026-07-07 10:53:59 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-07 10:53:59 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-07 10:54:51 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
2026-07-08 08:48:21 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-08 08:48:21 | INFO     | __main__ | Configuration:
2026-07-08 08:48:21 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-08 08:48:21 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-08 08:48:21 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-08 08:48:21 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-08 08:48:21 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-08 08:48:21 | INFO     | __main__ |   Context Top K: 10
2026-07-08 08:48:21 | INFO     | __main__ |   Question Limit: 2
2026-07-08 08:48:21 | INFO     | __main__ | Initializing HybridQdrantRetriever...
2026-07-08 08:48:39 | INFO     | __main__ | Building Chunk Metadata Lookup...
2026-07-08 08:48:39 | INFO     | __main__ | Initializing gemma LLM...
2026-07-08 08:48:44 | INFO     | __main__ | Initializing Generation Pipeline...
2026-07-08 08:48:44 | INFO     | __main__ | Starting Evaluation Loop...
2026-07-08 08:49:37 | INFO     | __main__ | === Generation Evaluation Completed Successfully ===
2026-07-08 08:50:58 | INFO     | __main__ | === Starting Generation Evaluation ===
2026-07-08 08:50:58 | INFO     | __main__ | Configuration:
2026-07-08 08:50:58 | INFO     | __main__ |   Embedding Model: bge_m3
2026-07-08 08:50:58 | INFO     | __main__ |   Reranker Model: BAAI/bge-reranker-v2-m3
2026-07-08 08:50:58 | INFO     | __main__ |   LLM Model Type: gemma
2026-07-08 08:50:58 | INFO     | __main__ |   Dataset Path: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/evaluation/gold_dataset_for_llm_generation.xlsx
2026-07-08 08:50:58 | INFO     | __main__ |   Output Directory: /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/results/generation/gemma
2026-07-08 08:50:58 | INFO     | __main__ |   Context Top K: 5
