2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Discovered 96 chunk file(s) under '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 58 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/096312ee-c41c-4c1f-9edd-baf5f3187758.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 6 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/AML Sanksiya Dəyişiklikləri.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 37 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 24 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/Müştəri Uyğunluğu və Risk Qiymətləndirməsi Qaydaları.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 37 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/Məcəllə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 18 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/Öhdəlik daşıyan şəxslərin daxili nəzarət proqramının cavab verməli olduğu minimum Tələblər.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 143 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/Valyuta tənzimi haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 16 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/ad29955c-5a37-413c-937e-cd1e5988ae62.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/d290a5c47f251d932318feaec.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 27 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/aml_kyc/“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 11 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/04957d78-5ed1-477c-9d32-2ed4797154e4.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 30 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/45937180-250a-4b4a-b8e5-153945adb06d.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 8 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/50c0f6d30754ffa78df0070e8.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 83 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/9018b71b0859bc7a490ea0f22.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 25 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Auditor xidməti haqqında.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 27 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Azərbaycan Respublikası Prezidentinin Fərmanı.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 21 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Azərbaycan Respublikasının Mərkəzi Bankı - Maliyyə institutlarında istehlakçıların şikayətlərinə baxılmasına dair Metodoloji Rəhbərlik.jsonl'.
2026-07-03 14:46:30 | INFO     | backend.reguaz.services.chunks.chunk_reader | Read 48 chunk(s) from '/Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/data/processed/chunks/governance_and_compliance/Banklarda korporativ idarəetmə Standartları.jsonl'.
